akcijskousmerjevalnega | AKCIJSKOUSMERJEVALEN - [pravopis]
ortokronostratigrafijo | ORTOKRONOSTRATIGRAFIJA - [geol.] geokronologija plasti, ki jo določajo ortokronostratigrafski fosili
ortokronostratigrafska | ORTOKRONOSTRATIGRAFSKI - [geol.] v zvezi »ortokronostratigrafski fosil«: fosil, po katerem je narejen osnovni geokronološki sistem, npr. amonit za mezozoik
ortokronostratigrafske | ORTOKRONOSTRATIGRAFSKI - [geol.] v zvezi »ortokronostratigrafski fosil«: fosil, po katerem je narejen osnovni geokronološki sistem, npr. amonit za mezozoik
ortokronostratigrafski | [geol.] v zvezi »ortokronostratigrafski fosil«: fosil, po katerem je narejen osnovni geokronološki sistem, npr. amonit za mezozoik
ortokronostratigrafsko | ORTOKRONOSTRATIGRAFSKI - [geol.] v zvezi »ortokronostratigrafski fosil«: fosil, po katerem je narejen osnovni geokronološki sistem, npr. amonit za mezozoik
otorinolaringologijama | OTORINOLARINGOLOGIJA - veda o ušesu, nosu, grlu in njihovih boleznih
otorinolaringologijami | OTORINOLARINGOLOGIJA - veda o ušesu, nosu, grlu in njihovih boleznih
otorinolaringologinjah | OTORINOLARINGOLOGINJA - [pravopis]
otorinolaringologinjam | OTORINOLARINGOLOGINJA - [pravopis]
parahidroksibenzojskem | PARAHIDROKSIBENZOJSKI - [farm.] v zvezi »estri parahidroksibenzojske kisline«: konzervansi z izrazitim protibakterijskim in protiglivičnim delovanjem, ki motijo transport snovi skozi biološke membrane, verjetno tudi biosintezo nukleinskih kislin, in v nizkih koncentracijah delujejo kot hormonski motilci, pogosti v farmacevtskih in kozmetičnih izdelkih
parahidroksibenzojskih | PARAHIDROKSIBENZOJSKI - [farm.] v zvezi »estri parahidroksibenzojske kisline«: konzervansi z izrazitim protibakterijskim in protiglivičnim delovanjem, ki motijo transport snovi skozi biološke membrane, verjetno tudi biosintezo nukleinskih kislin, in v nizkih koncentracijah delujejo kot hormonski motilci, pogosti v farmacevtskih in kozmetičnih izdelkih
parahidroksibenzojskim | PARAHIDROKSIBENZOJSKI - [farm.] v zvezi »estri parahidroksibenzojske kisline«: konzervansi z izrazitim protibakterijskim in protiglivičnim delovanjem, ki motijo transport snovi skozi biološke membrane, verjetno tudi biosintezo nukleinskih kislin, in v nizkih koncentracijah delujejo kot hormonski motilci, pogosti v farmacevtskih in kozmetičnih izdelkih
partikularističnostima | PARTIKULARISTIČNOST - [pravopis]
pentagondodekaedričnem | PENTAGONDODEKAEDRIČEN - [geol.] v zvezi »pentagondodekaedrična vrsta simetrije«: vrsta simetrije, ki ima tri dvoštevne in štiri trištevne osi simetrije in tri ravnine simetrije
pentagondodekaedričnih | PENTAGONDODEKAEDRIČEN - [geol.] v zvezi »pentagondodekaedrična vrsta simetrije«: vrsta simetrije, ki ima tri dvoštevne in štiri trištevne osi simetrije in tri ravnine simetrije
pentagondodekaedričnim | PENTAGONDODEKAEDRIČEN - [geol.] v zvezi »pentagondodekaedrična vrsta simetrije«: vrsta simetrije, ki ima tri dvoštevne in štiri trištevne osi simetrije in tri ravnine simetrije
pentagondodekaedrskega | PENTAGONDODEKAEDRSKI - [geol.] v zvezi »pentagondodekaedrski razred«: vrsta simetrije, ki ima tri dvoštevne in štiri trištevne osi simetrije in tri ravnine simetrije
pentagondodekaedrskemu | PENTAGONDODEKAEDRSKI - [geol.] v zvezi »pentagondodekaedrski razred«: vrsta simetrije, ki ima tri dvoštevne in štiri trištevne osi simetrije in tri ravnine simetrije
pentagondodekaedrskima | PENTAGONDODEKAEDRSKI - [geol.] v zvezi »pentagondodekaedrski razred«: vrsta simetrije, ki ima tri dvoštevne in štiri trištevne osi simetrije in tri ravnine simetrije
pentagondodekaedrskimi | PENTAGONDODEKAEDRSKI - [geol.] v zvezi »pentagondodekaedrski razred«: vrsta simetrije, ki ima tri dvoštevne in štiri trištevne osi simetrije in tri ravnine simetrije
pentagontrioktaedričen | [gem.] v zvezi »pentagontrioktaedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, tremi štirištevnimi osmi, ki sovpadajo s kristalografskimi osmi, in šestimi dvoštevnimi osmi
pentagontrioktaedrična | PENTAGONTRIOKTAEDRIČEN - [gem.] v zvezi »pentagontrioktaedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, tremi štirištevnimi osmi, ki sovpadajo s kristalografskimi osmi, in šestimi dvoštevnimi osmi
pentagontrioktaedrične | PENTAGONTRIOKTAEDRIČEN - [gem.] v zvezi »pentagontrioktaedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, tremi štirištevnimi osmi, ki sovpadajo s kristalografskimi osmi, in šestimi dvoštevnimi osmi
pentagontrioktaedrični | PENTAGONTRIOKTAEDRIČEN - [gem.] v zvezi »pentagontrioktaedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, tremi štirištevnimi osmi, ki sovpadajo s kristalografskimi osmi, in šestimi dvoštevnimi osmi
pentagontrioktaedrično | PENTAGONTRIOKTAEDRIČEN - [gem.] v zvezi »pentagontrioktaedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, tremi štirištevnimi osmi, ki sovpadajo s kristalografskimi osmi, in šestimi dvoštevnimi osmi
pentagontritetraedroma | PENTAGONTRITETRAEDER - [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi tetraedra tri neenakostranične peterokotne ploskve
peroksiacetilnitratoma | PEROKSIACETILNITRAT - > FOTOOKSIDANT - [bot.] sekundarno zračno onesnaževalo, ki nastaja iz primarnih onesnaževal, zlasti dušikovih oksidov, hlapnih ogljikovodikov, zaradi učinkovanja UV-sevanja, pri čemer je to zelo reaktivno, npr. ozon, peroksiacetilnitrat
petindvajsetletničinem | PETINDVAJSETLETNIČIN - [pravopis]
petindvajsetletničinih | PETINDVAJSETLETNIČIN - [pravopis]
petindvajsetletničinim | PETINDVAJSETLETNIČIN - [pravopis]
petinsedemdesetletnica | petinsedemdeseta obletnica
petinsedemdesetletnice | PETINSEDEMDESETLETNICA - petinsedemdeseta obletnica
petinsedemdesetletnici | PETINSEDEMDESETLETNICA - petinsedemdeseta obletnica
petinsedemdesetletnico | PETINSEDEMDESETLETNICA - petinsedemdeseta obletnica
petinsedemdesetletnika | PETINSEDEMDESETLETNIK - [pravopis]
petinsedemdesetletnike | PETINSEDEMDESETLETNIK - [pravopis]
petinsedemdesetletniki | PETINSEDEMDESETLETNIK - [pravopis]
petinsedemdesetletniku | PETINSEDEMDESETLETNIK - [pravopis]
podkapitaliziranostima | PODKAPITALIZIRANOST - [pravopis]
poimpresionističnostih | POIMPRESIONISTIČNOST - [pravopis]
poimpresionističnostim | POIMPRESIONISTIČNOST - [pravopis]
poimpresionističnostjo | POIMPRESIONISTIČNOST - [pravopis]
poimpresionističnostma | POIMPRESIONISTIČNOST - [pravopis]
poimpresionističnostmi | POIMPRESIONISTIČNOST - [pravopis]
policijskoveteranskega | POLICIJSKOVETERANSKI - [epravopis] nanašajoč se na policijske veterane
policijskoveteranskemu | POLICIJSKOVETERANSKI - [epravopis] nanašajoč se na policijske veterane
policijskoveteranskima | POLICIJSKOVETERANSKI - [epravopis] nanašajoč se na policijske veterane
policijskoveteranskimi | POLICIJSKOVETERANSKI - [epravopis] nanašajoč se na policijske veterane
političnogospodarskega | POLITIČNOGOSPODARSKI - [pravopis]
političnogospodarskemu | POLITIČNOGOSPODARSKI - [pravopis]
političnogospodarskima | POLITIČNOGOSPODARSKI - [pravopis]
političnogospodarskimi | POLITIČNOGOSPODARSKI - [pravopis]
političnopublicističen | [pravopis]
političnopublicistična | POLITIČNOPUBLICISTIČEN - [pravopis]
političnopublicistične | POLITIČNOPUBLICISTIČEN - [pravopis]
političnopublicistični | POLITIČNOPUBLICISTIČEN - [pravopis]
političnopublicistično | POLITIČNOPUBLICISTIČEN - [pravopis]
političnoteritorialnem | POLITIČNOTERITORIALEN - nanašajoč se na političnoupravno delitev državnega ozemlja
političnoteritorialnih | POLITIČNOTERITORIALEN - nanašajoč se na političnoupravno delitev državnega ozemlja
političnoteritorialnim | POLITIČNOTERITORIALEN - nanašajoč se na političnoupravno delitev državnega ozemlja
pomenskorazlikovalnega | POMENSKORAZLIKOVALNI - [sinonimni]
pomenskorazlikovalnemu | POMENSKORAZLIKOVALNI - [sinonimni]
pomenskorazlikovalnima | POMENSKORAZLIKOVALNI - [sinonimni]
pomenskorazlikovalnimi | POMENSKORAZLIKOVALNI - [sinonimni]
pomenskorazločevalnega | POMENSKORAZLOČEVALEN - ki (lahko) razločuje pomen
pomenskorazločevalnemu | POMENSKORAZLOČEVALEN - ki (lahko) razločuje pomen
pomenskorazločevalnima | POMENSKORAZLOČEVALEN - ki (lahko) razločuje pomen
pomenskorazločevalnimi | POMENSKORAZLOČEVALEN - ki (lahko) razločuje pomen
poslovnoinformacijskem | POSLOVNOINFORMACIJSKI - [epravopis] nanašajoč se na poslovne informacije
poslovnoinformacijskih | POSLOVNOINFORMACIJSKI - [epravopis] nanašajoč se na poslovne informacije
poslovnoinformacijskim | POSLOVNOINFORMACIJSKI - [epravopis] nanašajoč se na poslovne informacije
postimpresionističnega | POSTIMPRESIONISTIČEN - nanašajoč se na postimpresionizem
postimpresionističnemu | POSTIMPRESIONISTIČEN - nanašajoč se na postimpresionizem
postimpresionističnima | POSTIMPRESIONISTIČEN - nanašajoč se na postimpresionizem
postimpresionističnimi | POSTIMPRESIONISTIČEN - nanašajoč se na postimpresionizem
pravnoorganizacijskega | PRAVNOORGANIZACIJSKI - [epravopis] nanašajoč se na pravno organizacijo
pravnoorganizacijskemu | PRAVNOORGANIZACIJSKI - [epravopis] nanašajoč se na pravno organizacijo
pravnoorganizacijskima | PRAVNOORGANIZACIJSKI - [epravopis] nanašajoč se na pravno organizacijo
pravnoorganizacijskimi | PRAVNOORGANIZACIJSKI - [epravopis] nanašajoč se na pravno organizacijo
predimenzioniranostima | PREDIMENZIONIRANOST - značilnost predimenzioniranega
predmetnopomenskostima | PREDMETNOPOMENSKOST - [pravopis]
prestolonasledničinega | PRESTOLONASLEDNIČIN - [pravopis]
prestolonasledničinemu | PRESTOLONASLEDNIČIN - [pravopis]
prestolonasledničinima | PRESTOLONASLEDNIČIN - [pravopis]
prestolonasledničinimi | PRESTOLONASLEDNIČIN - [pravopis]
primerjalnozgodovinska | PRIMERJALNOZGODOVINSKI - nanašajoč se na primerjalno zgodovino
primerjalnozgodovinske | PRIMERJALNOZGODOVINSKI - nanašajoč se na primerjalno zgodovino
primerjalnozgodovinski | nanašajoč se na primerjalno zgodovino
primerjalnozgodovinsko | PRIMERJALNOZGODOVINSKI - nanašajoč se na primerjalno zgodovino
privatnokapitalističen | nanašajoč se na privatni kapital
privatnokapitalistična | PRIVATNOKAPITALISTIČEN - nanašajoč se na privatni kapital
privatnokapitalistične | PRIVATNOKAPITALISTIČEN - nanašajoč se na privatni kapital
privatnokapitalistični | PRIVATNOKAPITALISTIČEN - nanašajoč se na privatni kapital
privatnokapitalistično | PRIVATNOKAPITALISTIČEN - nanašajoč se na privatni kapital
profesionaliziranostih | PROFESIONALIZIRANOST - [pravopis]
profesionaliziranostim | PROFESIONALIZIRANOST - [pravopis]
profesionaliziranostjo | PROFESIONALIZIRANOST - [pravopis]
profesionaliziranostma | PROFESIONALIZIRANOST - [pravopis]
profesionaliziranostmi | PROFESIONALIZIRANOST - [pravopis]
prometnoinformacijskem | PROMETNOINFORMACIJSKI - [epravopis] nanašajoč se na prometne informacije
prometnoinformacijskih | PROMETNOINFORMACIJSKI - [epravopis] nanašajoč se na prometne informacije
prometnoinformacijskim | PROMETNOINFORMACIJSKI - [epravopis] nanašajoč se na prometne informacije
prostorskoureditvenega | PROSTORSKOUREDITVENI - [sprotni]
prostorskoureditvenemu | PROSTORSKOUREDITVENI - [sprotni]
prostorskoureditvenima | PROSTORSKOUREDITVENI - [sprotni]
prostorskoureditvenimi | PROSTORSKOUREDITVENI - [sprotni]
protiabsolutističnosti | PROTIABSOLUTISTIČNOST - [pravopis]
protidemokratičnostima | PROTIDEMOKRATIČNOST - [pravopis]
protiglobalizacijskega | PROTIGLOBALIZACIJSKI - ki je proti globalizaciji
protiglobalizacijskemu | PROTIGLOBALIZACIJSKI - ki je proti globalizaciji
protiglobalizacijskima | PROTIGLOBALIZACIJSKI - ki je proti globalizaciji
protiglobalizacijskimi | PROTIGLOBALIZACIJSKI - ki je proti globalizaciji
protihitlerjevskostima | PROTIHITLERJEVSKOST - [pravopis]
protiimperialističnega | PROTIIMPERIALISTIČEN - ki je proti imperializmu
protiimperialističnemu | PROTIIMPERIALISTIČEN - ki je proti imperializmu
protiimperialističnima | PROTIIMPERIALISTIČEN - ki je proti imperializmu
protiimperialističnimi | PROTIIMPERIALISTIČEN - ki je proti imperializmu
protiimperialističnost | [pravopis]
protijanzenističnostih | PROTIJANZENISTIČNOST - [pravopis]
protijanzenističnostim | PROTIJANZENISTIČNOST - [pravopis]
protijanzenističnostjo | PROTIJANZENISTIČNOST - [pravopis]
protijanzenističnostma | PROTIJANZENISTIČNOST - [pravopis]
protijanzenističnostmi | PROTIJANZENISTIČNOST - [pravopis]
protijugoslovanskostih | PROTIJUGOSLOVANSKOST - [pravopis]
protijugoslovanskostim | PROTIJUGOSLOVANSKOST - [pravopis]
protijugoslovanskostjo | PROTIJUGOSLOVANSKOST - [pravopis]
protijugoslovanskostma | PROTIJUGOSLOVANSKOST - [pravopis]
protijugoslovanskostmi | PROTIJUGOSLOVANSKOST - [pravopis]
protikapitalističnosti | PROTIKAPITALISTIČNOST - [pravopis]
protikomunističnostima | PROTIKOMUNISTIČNOST - [pravopis]
protimarksističnostima | PROTIMARKSISTIČNOST - [pravopis]
protimaterialističnega | PROTIMATERIALISTIČEN - [pravopis]
protimaterialističnemu | PROTIMATERIALISTIČEN - [pravopis]
protimaterialističnima | PROTIMATERIALISTIČEN - [pravopis]
protimaterialističnimi | PROTIMATERIALISTIČEN - [pravopis]
protimaterialističnost | [pravopis]
protimilitarističnosti | PROTIMILITARISTIČNOST - [pravopis]
protimonarhističnostih | PROTIMONARHISTIČNOST - [pravopis]
protimonarhističnostim | PROTIMONARHISTIČNOST - [pravopis]
protimonarhističnostjo | PROTIMONARHISTIČNOST - [pravopis]
protimonarhističnostma | PROTIMONARHISTIČNOST - [pravopis]
protimonarhističnostmi | PROTIMONARHISTIČNOST - [pravopis]
protiobveščevalnostima | PROTIOBVEŠČEVALNOST - [pravopis]
protireformacijskostih | PROTIREFORMACIJSKOST - [pravopis]
protireformacijskostim | PROTIREFORMACIJSKOST - [pravopis]
protireformacijskostjo | PROTIREFORMACIJSKOST - [pravopis]
protireformacijskostma | PROTIREFORMACIJSKOST - [pravopis]
protireformacijskostmi | PROTIREFORMACIJSKOST - [pravopis]
protirevolucionarnosti | PROTIREVOLUCIONARNOST - [pravopis]
protisocialističnostih | PROTISOCIALISTIČNOST - [pravopis]
protisocialističnostim | PROTISOCIALISTIČNOST - [pravopis]
protisocialističnostjo | PROTISOCIALISTIČNOST - [pravopis]
protisocialističnostma | PROTISOCIALISTIČNOST - [pravopis]
protisocialističnostmi | PROTISOCIALISTIČNOST - [pravopis]
protiterorističnostima | PROTITERORISTIČNOST - [pravopis]
psevdokrasinucelatnega | PSEVDOKRASINUCELATEN - [bot.] v zvezi »psevdokrasinucelatna semenska zasnova«: semenska zasnova, pri kateri se epidermalna celica nucela deli periklino, pri čemer nastane nucelarna kapa
psevdokrasinucelatnemu | PSEVDOKRASINUCELATEN - [bot.] v zvezi »psevdokrasinucelatna semenska zasnova«: semenska zasnova, pri kateri se epidermalna celica nucela deli periklino, pri čemer nastane nucelarna kapa
psevdokrasinucelatnima | PSEVDOKRASINUCELATEN - [bot.] v zvezi »psevdokrasinucelatna semenska zasnova«: semenska zasnova, pri kateri se epidermalna celica nucela deli periklino, pri čemer nastane nucelarna kapa
psevdokrasinucelatnimi | PSEVDOKRASINUCELATEN - [bot.] v zvezi »psevdokrasinucelatna semenska zasnova«: semenska zasnova, pri kateri se epidermalna celica nucela deli periklino, pri čemer nastane nucelarna kapa
psevdomarksističnostih | PSEVDOMARKSISTIČNOST - [pravopis]
psevdomarksističnostim | PSEVDOMARKSISTIČNOST - [pravopis]
psevdomarksističnostjo | PSEVDOMARKSISTIČNOST - [pravopis]
psevdomarksističnostma | PSEVDOMARKSISTIČNOST - [pravopis]
psevdomarksističnostmi | PSEVDOMARKSISTIČNOST - [pravopis]
psevdorevolucionarnega | PSEVDOREVOLUCIONAREN - lažno, navidezno revolucionaren
psevdorevolucionarnemu | PSEVDOREVOLUCIONAREN - lažno, navidezno revolucionaren
psevdorevolucionarnima | PSEVDOREVOLUCIONAREN - lažno, navidezno revolucionaren
psevdorevolucionarnimi | PSEVDOREVOLUCIONAREN - lažno, navidezno revolucionaren
psevdorevolucionarnost | [pravopis]
psiholingvističnostima | PSIHOLINGVISTIČNOST - [pravopis]
razvojnoraziskovalnega | RAZVOJNORAZISKOVALEN - [pravopis]
razvojnoraziskovalnemu | RAZVOJNORAZISKOVALEN - [pravopis]
razvojnoraziskovalnima | RAZVOJNORAZISKOVALEN - [pravopis]
razvojnoraziskovalnimi | RAZVOJNORAZISKOVALEN - [pravopis]
regionalnogeografskega | REGIONALNOGEOGRAFSKI - [epravopis] nanašajoč se na regionalno geografijo
regionalnogeografskemu | REGIONALNOGEOGRAFSKI - [epravopis] nanašajoč se na regionalno geografijo
regionalnogeografskima | REGIONALNOGEOGRAFSKI - [epravopis] nanašajoč se na regionalno geografijo
regionalnogeografskimi | REGIONALNOGEOGRAFSKI - [epravopis] nanašajoč se na regionalno geografijo
ribonukleoproteinskega | RIBONUKLEOPROTEINSKI - [bot.] v zvezi »ribonukleoproteinski kompleks«: proteinski kompleks z vezanimi ribonukleinskimi kislinami, npr. mRNK, patogene RNK, majhne molekule RNK, ki se prenaša po floemu
ribonukleoproteinskemu | RIBONUKLEOPROTEINSKI - [bot.] v zvezi »ribonukleoproteinski kompleks«: proteinski kompleks z vezanimi ribonukleinskimi kislinami, npr. mRNK, patogene RNK, majhne molekule RNK, ki se prenaša po floemu
ribonukleoproteinskima | RIBONUKLEOPROTEINSKI - [bot.] v zvezi »ribonukleoproteinski kompleks«: proteinski kompleks z vezanimi ribonukleinskimi kislinami, npr. mRNK, patogene RNK, majhne molekule RNK, ki se prenaša po floemu
ribonukleoproteinskimi | RIBONUKLEOPROTEINSKI - [bot.] v zvezi »ribonukleoproteinski kompleks«: proteinski kompleks z vezanimi ribonukleinskimi kislinami, npr. mRNK, patogene RNK, majhne molekule RNK, ki se prenaša po floemu
rumenosivozelenkastega | RUMENOSIVOZELENKAST - > MARKAZIT - [geol.] rumenosivozelenkast kovinski rombični mineral, železov disulfid, dimorfen s piritom
rumenosivozelenkastemu | RUMENOSIVOZELENKAST - > MARKAZIT - [geol.] rumenosivozelenkast kovinski rombični mineral, železov disulfid, dimorfen s piritom
rumenosivozelenkastima | RUMENOSIVOZELENKAST - > MARKAZIT - [geol.] rumenosivozelenkast kovinski rombični mineral, železov disulfid, dimorfen s piritom
rumenosivozelenkastimi | RUMENOSIVOZELENKAST - > MARKAZIT - [geol.] rumenosivozelenkast kovinski rombični mineral, železov disulfid, dimorfen s piritom
samodiscipliniranostih | SAMODISCIPLINIRANOST - [pravopis]
samodiscipliniranostim | SAMODISCIPLINIRANOST - [pravopis]
samodiscipliniranostjo | SAMODISCIPLINIRANOST - [pravopis]
samodiscipliniranostma | SAMODISCIPLINIRANOST - [pravopis]
samodiscipliniranostmi | SAMODISCIPLINIRANOST - [pravopis]
samoizobraževalnostima | SAMOIZOBRAŽEVALNOST - [pravopis]
samomikroemulgirajočem | SAMOMIKROEMULGIRAJOČ - [farm.] v zvezi »samomikroemulgirajoči sistem«: zmes lipidov, površinsko aktivnih snovi in učinkovine, ki v stiku z vodnim medijem ob rahlem mešanju hitro in spontano tvori mikroemulzijo olje v vodi
samomikroemulgirajočih | SAMOMIKROEMULGIRAJOČ - [farm.] v zvezi »samomikroemulgirajoči sistem«: zmes lipidov, površinsko aktivnih snovi in učinkovine, ki v stiku z vodnim medijem ob rahlem mešanju hitro in spontano tvori mikroemulzijo olje v vodi
samomikroemulgirajočim | SAMOMIKROEMULGIRAJOČ - [farm.] v zvezi »samomikroemulgirajoči sistem«: zmes lipidov, površinsko aktivnih snovi in učinkovine, ki v stiku z vodnim medijem ob rahlem mešanju hitro in spontano tvori mikroemulzijo olje v vodi
samopoveličevalnostima | SAMOPOVELIČEVALNOST - [pravopis]
senzacionalističnostih | SENZACIONALISTIČNOST - [pravopis]
senzacionalističnostim | SENZACIONALISTIČNOST - [pravopis]
senzacionalističnostjo | SENZACIONALISTIČNOST - [pravopis]
senzacionalističnostma | SENZACIONALISTIČNOST - [pravopis]
senzacionalističnostmi | SENZACIONALISTIČNOST - [pravopis]
sinhrotransformatorjem | SINHROTRANSFORMATOR - [avt.] trifazni motor, uporaben kot merilnik zasuka, pri katerem merjenec premika rotor, napajan z izmenično napetostjo, kar v navitjih statorjev inducira napetosti, iz katerih je mogoče določiti zasuk, pri čemer se povezava v par ali verigo uporablja za prenos kota ali signala na daljavo
sinhrotransformatorjev | SINHROTRANSFORMATOR - [avt.] trifazni motor, uporaben kot merilnik zasuka, pri katerem merjenec premika rotor, napajan z izmenično napetostjo, kar v navitjih statorjev inducira napetosti, iz katerih je mogoče določiti zasuk, pri čemer se povezava v par ali verigo uporablja za prenos kota ali signala na daljavo
sinhrotransformatorjih | SINHROTRANSFORMATOR - [avt.] trifazni motor, uporaben kot merilnik zasuka, pri katerem merjenec premika rotor, napajan z izmenično napetostjo, kar v navitjih statorjev inducira napetosti, iz katerih je mogoče določiti zasuk, pri čemer se povezava v par ali verigo uporablja za prenos kota ali signala na daljavo
skomercializiranostima | SKOMERCIALIZIRANOST - lastnost, značilnost skomercializiranega
skonvencionaliziranega | SKONVENCIONALIZIRATI - narediti konvencionalno
skonvencionaliziranemu | SKONVENCIONALIZIRATI - narediti konvencionalno
skonvencionaliziranima | SKONVENCIONALIZIRATI - narediti konvencionalno
skonvencionaliziranimi | SKONVENCIONALIZIRATI - narediti konvencionalno
skonvencionaliziranost | [pravopis]
slovstvenozgodovinskem | SLOVSTVENOZGODOVINSKI
slovstvenozgodovinskih | SLOVSTVENOZGODOVINSKI
slovstvenozgodovinskim | SLOVSTVENOZGODOVINSKI
socialnodemokratičnega | SOCIALNODEMOKRATIČEN - nanašajoč se na socialno demokracijo
socialnodemokratičnemu | SOCIALNODEMOKRATIČEN - nanašajoč se na socialno demokracijo
socialnodemokratičnima | SOCIALNODEMOKRATIČEN - nanašajoč se na socialno demokracijo
socialnodemokratičnimi | SOCIALNODEMOKRATIČEN - nanašajoč se na socialno demokracijo
socialnorevolucionaren | revolucionaren v povezavi s čim socialnim
socialnorevolucionarna | SOCIALNOREVOLUCIONAREN - revolucionaren v povezavi s čim socialnim
socialnorevolucionarne | SOCIALNOREVOLUCIONAREN - revolucionaren v povezavi s čim socialnim
socialnorevolucionarni | SOCIALNOREVOLUCIONAREN - revolucionaren v povezavi s čim socialnim
socialnorevolucionarno | SOCIALNOREVOLUCIONAREN - revolucionaren v povezavi s čim socialnim
splošnocivilizacijskem | SPLOŠNOCIVILIZACIJSKI - [pravopis]
splošnocivilizacijskih | SPLOŠNOCIVILIZACIJSKI - [pravopis]
splošnocivilizacijskim | SPLOŠNOCIVILIZACIJSKI - [pravopis]
splošnoizobraževalnega | SPLOŠNOIZOBRAŽEVALEN - nanašajoč se na izobraževanje, ki obsega osnove vseh glavnih področij človekove dejavnosti
splošnoizobraževalnemu | SPLOŠNOIZOBRAŽEVALEN - nanašajoč se na izobraževanje, ki obsega osnove vseh glavnih področij človekove dejavnosti
splošnoizobraževalnima | SPLOŠNOIZOBRAŽEVALEN - nanašajoč se na izobraževanje, ki obsega osnove vseh glavnih področij človekove dejavnosti
splošnoizobraževalnimi | SPLOŠNOIZOBRAŽEVALEN - nanašajoč se na izobraževanje, ki obsega osnove vseh glavnih področij človekove dejavnosti
spodnjejakobskodolskem | SPODNJEJAKOBSKODOLSKI - [pravopis]
spodnjejakobskodolskih | SPODNJEJAKOBSKODOLSKI - [pravopis]
spodnjejakobskodolskim | SPODNJEJAKOBSKODOLSKI - [pravopis]
spodnjepleistocenskega | SPODNJEPLEISTOCENSKI - > CALABRIJSKI - [geol.] v zvezi »calabrijski nivo«: spodnjepleistocenske plasti s hladnoljubno morsko favno
spodnjepleistocenskemu | SPODNJEPLEISTOCENSKI - > CALABRIJSKI - [geol.] v zvezi »calabrijski nivo«: spodnjepleistocenske plasti s hladnoljubno morsko favno
spodnjepleistocenskima | SPODNJEPLEISTOCENSKI - > CALABRIJSKI - [geol.] v zvezi »calabrijski nivo«: spodnjepleistocenske plasti s hladnoljubno morsko favno
spodnjepleistocenskimi | SPODNJEPLEISTOCENSKI - > CALABRIJSKI - [geol.] v zvezi »calabrijski nivo«: spodnjepleistocenske plasti s hladnoljubno morsko favno
sprofesionaliziranosti | SPROFESIONALIZIRANOST - [pravopis]
srednjedolgodelujočega | SREDNJEDOLGODELUJOČ - [farm.] v zvezi »srednjedolgodelujoči sulfanilamid«: sulfanilamid z razpolovno dobo 8–20 ur, ki se v terapiji najpogosteje uporablja, npr. sulfametoksazol, sulfadiazin
srednjedolgodelujočemu | SREDNJEDOLGODELUJOČ - [farm.] v zvezi »srednjedolgodelujoči sulfanilamid«: sulfanilamid z razpolovno dobo 8–20 ur, ki se v terapiji najpogosteje uporablja, npr. sulfametoksazol, sulfadiazin
srednjedolgodelujočima | SREDNJEDOLGODELUJOČ - [farm.] v zvezi »srednjedolgodelujoči sulfanilamid«: sulfanilamid z razpolovno dobo 8–20 ur, ki se v terapiji najpogosteje uporablja, npr. sulfametoksazol, sulfadiazin
srednjedolgodelujočimi | SREDNJEDOLGODELUJOČ - [farm.] v zvezi »srednjedolgodelujoči sulfanilamid«: sulfanilamid z razpolovno dobo 8–20 ur, ki se v terapiji najpogosteje uporablja, npr. sulfametoksazol, sulfadiazin
srednjepleistocenskega | SREDNJEPLEISTOCENSKI - > HOTTINŠKI - [geol.] v zvezi »höttinška breča«: rdeč do bel, močno sprijet srednjepleistocenski pobočni grušč v dolini reke Inn pri Innsbrucku z vezivom, ki vsebuje pelod toploljubnega rastlinstva, npr. divje trte, pontskega sleča
srednjepleistocenskemu | SREDNJEPLEISTOCENSKI - > HOTTINŠKI - [geol.] v zvezi »höttinška breča«: rdeč do bel, močno sprijet srednjepleistocenski pobočni grušč v dolini reke Inn pri Innsbrucku z vezivom, ki vsebuje pelod toploljubnega rastlinstva, npr. divje trte, pontskega sleča
srednjepleistocenskima | SREDNJEPLEISTOCENSKI - > HOTTINŠKI - [geol.] v zvezi »höttinška breča«: rdeč do bel, močno sprijet srednjepleistocenski pobočni grušč v dolini reke Inn pri Innsbrucku z vezivom, ki vsebuje pelod toploljubnega rastlinstva, npr. divje trte, pontskega sleča
srednjepleistocenskimi | SREDNJEPLEISTOCENSKI - > HOTTINŠKI - [geol.] v zvezi »höttinška breča«: rdeč do bel, močno sprijet srednjepleistocenski pobočni grušč v dolini reke Inn pri Innsbrucku z vezivom, ki vsebuje pelod toploljubnega rastlinstva, npr. divje trte, pontskega sleča
