abalienacijskega | ABALIENACIJSKI
aleksandrinskimi | ALEKSANDRINSKI - nanašajoč se na Aleksandra Velikega ali Aleksandrijo
aleksandritovega | ALEKSANDRITOV - [gem.] v zvezi »aleksandritovo mačje oko«: aleksandrit z optičnim pojavom mačjega očesa
aleksandritovemu | ALEKSANDRITOV - [gem.] v zvezi »aleksandritovo mačje oko«: aleksandrit z optičnim pojavom mačjega očesa
aleksandritovima | ALEKSANDRITOV - [gem.] v zvezi »aleksandritovo mačje oko«: aleksandrit z optičnim pojavom mačjega očesa
aleksandritovimi | ALEKSANDRITOV - [gem.] v zvezi »aleksandritovo mačje oko«: aleksandrit z optičnim pojavom mačjega očesa
alelokemikalijah | ALELOKEMIKALIJA - [bot.] kemična snov, ki jo v neposredno okolico, zlasti v tla, izločajo nekatere rastline, s čimer večinoma zavirajo ali onemogočajo uspevanje drugih rastlinskih vrst, mikroorganizmov, gliv, redkeje tudi drugih osebkov iste vrste, npr. fenoli, terpeni, alkaloidi
alelokemikalijam | ALELOKEMIKALIJA - [bot.] kemična snov, ki jo v neposredno okolico, zlasti v tla, izločajo nekatere rastline, s čimer večinoma zavirajo ali onemogočajo uspevanje drugih rastlinskih vrst, mikroorganizmov, gliv, redkeje tudi drugih osebkov iste vrste, npr. fenoli, terpeni, alkaloidi
alessandrijskega | ALESSANDRIJSKI - [epravopis] 
alessandrijskemu | ALESSANDRIJSKI - [epravopis] 
alessandrijskima | ALESSANDRIJSKI - [epravopis] 
alessandrijskimi | ALESSANDRIJSKI - [epravopis] 
alfaadrenergičen | [farm.] v zvezi »alfaadrenergični receptor«: adrenergični receptor, na katerem pride po vezavi agonista do simpatomimetičnega odziva, stimulacija receptorja pa je bolj izražena pri uporabi adrenalina kot izoproterenola
alfaadrenergična | ALFAADRENERGIČEN - [farm.] v zvezi »alfaadrenergični receptor«: adrenergični receptor, na katerem pride po vezavi agonista do simpatomimetičnega odziva, stimulacija receptorja pa je bolj izražena pri uporabi adrenalina kot izoproterenola
alfaadrenergične | ALFAADRENERGIČEN - [farm.] v zvezi »alfaadrenergični receptor«: adrenergični receptor, na katerem pride po vezavi agonista do simpatomimetičnega odziva, stimulacija receptorja pa je bolj izražena pri uporabi adrenalina kot izoproterenola
alfaadrenergični | ALFAADRENERGIČEN - [farm.] v zvezi »alfaadrenergični receptor«: adrenergični receptor, na katerem pride po vezavi agonista do simpatomimetičnega odziva, stimulacija receptorja pa je bolj izražena pri uporabi adrenalina kot izoproterenola
alfaadrenergično | ALFAADRENERGIČEN - [farm.] v zvezi »alfaadrenergični receptor«: adrenergični receptor, na katerem pride po vezavi agonista do simpatomimetičnega odziva, stimulacija receptorja pa je bolj izražena pri uporabi adrenalina kot izoproterenola
alfaglukozidazah | ALFAGLUKOZIDAZA - [farm.] v zvezi »inhibitor alfaglukozidaze«:
alfaglukozidazam | ALFAGLUKOZIDAZA - [farm.] v zvezi »inhibitor alfaglukozidaze«:
alfakoronavirusa | ALFAKORONAVIRUS - [sprotni] (iz veterine) koronavirus, ki pri živalih, zlasti prašičih, povzroča vnetje prebavil z drisko
alfakoronaviruse | ALFAKORONAVIRUS - [sprotni] (iz veterine) koronavirus, ki pri živalih, zlasti prašičih, povzroča vnetje prebavil z drisko
alfakoronavirusi | ALFAKORONAVIRUS - [sprotni] (iz veterine) koronavirus, ki pri živalih, zlasti prašičih, povzroča vnetje prebavil z drisko
