abalienacijah | ABALIENACIJA
afroameriškem | AFROAMERIŠKI - nanašajoč se na Američane afriškega rodu
afroameriških | AFROAMERIŠKI - nanašajoč se na Američane afriškega rodu
afroameriškim | AFROAMERIŠKI - nanašajoč se na Američane afriškega rodu
afrodiziakoma | AFRODIZIAK - sredstvo, ki dražilno vpliva na spolne organe, spolno dražilo
afrormozijama | AFRORMOZIJA - [umetn.] 
afrormozijami | AFRORMOZIJA - [umetn.] 
agalmatolitih | AGALMATOLIT - [gem.] mehka, s kremenico bogata kamnina voščenega videza ali masiven mineral za okrasne izdelke
agalmatolitom | AGALMATOLIT - [gem.] mehka, s kremenico bogata kamnina voščenega videza ali masiven mineral za okrasne izdelke
agalmatolitov | AGALMATOLIT - [gem.] mehka, s kremenico bogata kamnina voščenega videza ali masiven mineral za okrasne izdelke
agamogonijama | AGAMOGONIJA - [bot.] nespolno razmnoževanje s celicami, ki niso zmožne oploditve
agamogonijami | AGAMOGONIJA - [bot.] nespolno razmnoževanje s celicami, ki niso zmožne oploditve
agamospermija | [bot.] nastanek semen brez oploditve, pri čemer se embrio razvije iz različnih delov semenske zasnove ali ženskega gametofita brez zlitja gamet
agamospermije | AGAMOSPERMIJA - [bot.] nastanek semen brez oploditve, pri čemer se embrio razvije iz različnih delov semenske zasnove ali ženskega gametofita brez zlitja gamet
agamospermiji | AGAMOSPERMIJA - [bot.] nastanek semen brez oploditve, pri čemer se embrio razvije iz različnih delov semenske zasnove ali ženskega gametofita brez zlitja gamet
agamospermijo | AGAMOSPERMIJA - [bot.] nastanek semen brez oploditve, pri čemer se embrio razvije iz različnih delov semenske zasnove ali ženskega gametofita brez zlitja gamet
agitacijskega | AGITACIJSKI - pridevnik od agitacija
agitacijskemu | AGITACIJSKI - pridevnik od agitacija
agitacijskima | AGITACIJSKI - pridevnik od agitacija
agitacijskimi | AGITACIJSKI - pridevnik od agitacija
agitatoričnem | AGITATORIČEN
agitatoričnih | AGITATORIČEN
agitatoričnim | AGITATORIČEN
agitatorskega | AGITATORSKI - nanašajoč se na agitatorje ali agitacijo
agitatorskemu | AGITATORSKI - nanašajoč se na agitatorje ali agitacijo
agitatorskima | AGITATORSKI - nanašajoč se na agitatorje ali agitacijo
agitatorskimi | AGITATORSKI - nanašajoč se na agitatorje ali agitacijo
agitatorstvih | AGITATORSTVO - dejavnost agitatorjev
agitatorstvom | AGITATORSTVO - dejavnost agitatorjev
agitpropovcem | AGITPROPOVEC - kdor dela v agitpropu
agitpropovcev | AGITPROPOVEC - kdor dela v agitpropu
agitpropovcih | AGITPROPOVEC - kdor dela v agitpropu
agitpropovska | AGITPROPOVSKI - nanašajoč se na agitpropovce ali agitprop
agitpropovske | AGITPROPOVSKI - nanašajoč se na agitpropovce ali agitprop
agitpropovski | nanašajoč se na agitpropovce ali agitprop
agitpropovsko | AGITPROPOVSKI - nanašajoč se na agitpropovce ali agitprop
aglomeracijah | AGLOMERACIJA - naselbinska enota
aglomeracijam | AGLOMERACIJA - naselbinska enota
aglomerirajmo | AGLOMERIRATI
aglomerirajta | AGLOMERIRATI
aglomerirajte | AGLOMERIRATI
aglomerirajva | AGLOMERIRATI
aglutinacijah | AGLUTINACIJA - tvorba besed z dodajanjem samostojnih pripon
aglutinacijam | AGLUTINACIJA - tvorba besed z dodajanjem samostojnih pripon
aglutinativen | sposoben aglutinirati
aglutinativna | AGLUTINATIVEN - sposoben aglutinirati
aglutinativne | AGLUTINATIVEN - sposoben aglutinirati
aglutinativni | AGLUTINATIVEN - sposoben aglutinirati
aglutinativno | AGLUTINATIVEN - sposoben aglutinirati
aglutinirajmo | AGLUTINIRATI
aglutinirajta | AGLUTINIRATI
aglutinirajte | AGLUTINIRATI
aglutinirajva | AGLUTINIRATI
agnosticizmih | AGNOSTICIZEM - nauk, da bistvo stvari ni dostopno človeškemu spoznanju
agnosticizmom | AGNOSTICIZEM - nauk, da bistvo stvari ni dostopno človeškemu spoznanju
agnosticizmov | AGNOSTICIZEM - nauk, da bistvo stvari ni dostopno človeškemu spoznanju
agorafobijama | AGORAFOBIJA - bolezenski strah pred odprtim prostorom
agorafobijami | AGORAFOBIJA - bolezenski strah pred odprtim prostorom
agrarizacijah | AGRARIZACIJA - večanje vloge kmetijstva
agrarizacijam | AGRARIZACIJA - večanje vloge kmetijstva
agresivnejšem | AGRESIVEN
agresivnejših | AGRESIVEN
agresivnejšim | AGRESIVEN
agresivnežema | AGRESIVNEŽ - napadalen, nasilen človek
agresivnostih | AGRESIVNOST
agresivnostim | AGRESIVNOST
agresivnostjo | AGRESIVNOST
agresivnostma | AGRESIVNOST
agresivnostmi | AGRESIVNOST
agrikulturama | AGRIKULTURA
agrikulturami | AGRIKULTURA
agrikulturnem | AGRIKULTUREN - pridevnik od agrikultura
agrikulturnih | AGRIKULTUREN - pridevnik od agrikultura
agrikulturnim | AGRIKULTUREN - pridevnik od agrikultura
agrobakterija | [bot.]
agrobakterije | AGROBAKTERIJA - [bot.] 
agrobakteriji | AGROBAKTERIJA - [bot.] 
agrobakterijo | AGROBAKTERIJA - [bot.] 
agrobiologija | veda o bioloških zakonitostih, pomembnih za kmetijstvo in poljedelstvo
agrobiologije | AGROBIOLOGIJA - veda o bioloških zakonitostih, pomembnih za kmetijstvo in poljedelstvo
agrobiologiji | AGROBIOLOGIJA - veda o bioloških zakonitostih, pomembnih za kmetijstvo in poljedelstvo
agrobiologijo | AGROBIOLOGIJA - veda o bioloških zakonitostih, pomembnih za kmetijstvo in poljedelstvo
agrogeologija | [geol.] področje geologije, ki proučuje geološke procese, pomembne za poljedelstvo
agrogeologije | AGROGEOLOGIJA - [geol.] področje geologije, ki proučuje geološke procese, pomembne za poljedelstvo
agrogeologiji | AGROGEOLOGIJA - [geol.] področje geologije, ki proučuje geološke procese, pomembne za poljedelstvo
agrogeologijo | AGROGEOLOGIJA - [geol.] področje geologije, ki proučuje geološke procese, pomembne za poljedelstvo
agroklavinoma | AGROKLAVIN - [bot.] 
agrokombinata | AGROKOMBINAT - gospodarska enota kmetijskih in industrijskih obratov
agrokombinate | AGROKOMBINAT - gospodarska enota kmetijskih in industrijskih obratov
agrokombinati | AGROKOMBINAT - gospodarska enota kmetijskih in industrijskih obratov
agrokombinatu | AGROKOMBINAT - gospodarska enota kmetijskih in industrijskih obratov
agrokoprenama | AGROKOPRENA - vlaknata folija za zaščito, hitrejšo rast vrtnin, poljščin
agrokoprenami | AGROKOPRENA - vlaknata folija za zaščito, hitrejšo rast vrtnin, poljščin
agrominimumih | AGROMINIMUM - najmanjša uporaba proizvodnih sredstev in ukrepov v kmetijstvu
agrominimumom | AGROMINIMUM - najmanjša uporaba proizvodnih sredstev in ukrepov v kmetijstvu
agrominimumov | AGROMINIMUM - najmanjša uporaba proizvodnih sredstev in ukrepov v kmetijstvu
agrotehničnem | AGROTEHNIČEN - nanašajoč se na agrotehniko
agrotehničnih | AGROTEHNIČEN - nanašajoč se na agrotehniko
agrotehničnim | AGROTEHNIČEN - nanašajoč se na agrotehniko
agrotehnikama | AGROTEHNIKA - tehnična sredstva in metode dela z njimi v kmetijstvu in poljedelstvu
agrotehnikami | AGROTEHNIKA - tehnična sredstva in metode dela z njimi v kmetijstvu in poljedelstvu
agroživilcema | AGROŽIVILEC - kdor se ukvarja s predelovanjem hrane, surovin rastlinskega, živalskega izvora
agroživilstev | AGROŽIVILSTVO - dejavnost, ki se ukvarja s pridelovanjem in predelovanjem hrane, surovin rastlinskega in živalskega izvora
agroživilstva | AGROŽIVILSTVO - dejavnost, ki se ukvarja s pridelovanjem in predelovanjem hrane, surovin rastlinskega in živalskega izvora
agroživilstvi | AGROŽIVILSTVO - dejavnost, ki se ukvarja s pridelovanjem in predelovanjem hrane, surovin rastlinskega in živalskega izvora
agroživilstvo | dejavnost, ki se ukvarja s pridelovanjem in predelovanjem hrane, surovin rastlinskega in živalskega izvora
agroživilstvu | AGROŽIVILSTVO - dejavnost, ki se ukvarja s pridelovanjem in predelovanjem hrane, surovin rastlinskega in živalskega izvora
ahasverstvoma | AHASVERSTVO - ahasversko življenje
ahistoričnega | AHISTORIČEN - ki ni historičen, nezgodovinski
ahistoričnemu | AHISTORIČEN - ki ni historičen, nezgodovinski
ahistoričnima | AHISTORIČEN - ki ni historičen, nezgodovinski
ahistoričnimi | AHISTORIČEN - ki ni historičen, nezgodovinski
ahistorizmoma | AHISTORIZEM - pojmovanje in obravnavanje stvari, ne oziraje se na zgodovino
ailuzionizmih | AILUZIONIZEM - [gled.] zanikanje gledališke iluzije s postavitvijo igralcev na prazen oder in s sceno, projicirano na zaveso
ailuzionizmom | AILUZIONIZEM - [gled.] zanikanje gledališke iluzije s postavitvijo igralcev na prazen oder in s sceno, projicirano na zaveso
ailuzionizmov | AILUZIONIZEM - [gled.] zanikanje gledališke iluzije s postavitvijo igralcev na prazen oder in s sceno, projicirano na zaveso
airconditiona | AIRCONDITION - klimatska naprava
airconditione | AIRCONDITION - klimatska naprava
airconditioni | AIRCONDITION - klimatska naprava
airconditionu | AIRCONDITION - klimatska naprava
aitiologijama | AITIOLOGIJA - veda o vzrokih pojavov
aitiologijami | AITIOLOGIJA - veda o vzrokih pojavov
ajtiologijama | AITIOLOGIJA - veda o vzrokih pojavov
ajtiologijami | AITIOLOGIJA - veda o vzrokih pojavov
akacijevinama | AKACIJEVINA - akacijev les
akacijevinami | AKACIJEVINA - akacijev les
akademičarkah | AKADEMIČARKA - članica najvišje znanstvene in umetniške ustanove
akademičarkam | AKADEMIČARKA - članica najvišje znanstvene in umetniške ustanove
akademijskega | AKADEMIJSKI - nanašajoč se na akademijo
akademijskemu | AKADEMIJSKI - nanašajoč se na akademijo
akademijskima | AKADEMIJSKI - nanašajoč se na akademijo
akademijskimi | AKADEMIJSKI - nanašajoč se na akademijo
akademikinjah | AKADEMIKINJA - članica najvišje znanstvene in umetniške ustanove
akademikinjam | AKADEMIKINJA - članica najvišje znanstvene in umetniške ustanove
akarodomacija | AKARODOMACIJ - [bot.] 
akarodomacije | AKARODOMACIJ - [bot.] 
akarodomaciji | AKARODOMACIJ - [bot.] 
akarodomaciju | AKARODOMACIJ - [bot.] 
akatalektičen | verz s popolno zadnjo stopico
akatalektična | AKATALEKTIČEN - verz s popolno zadnjo stopico
akatalektične | AKATALEKTIČEN - verz s popolno zadnjo stopico
akatalektični | AKATALEKTIČEN - verz s popolno zadnjo stopico
akatalektično | AKATALEKTIČEN - verz s popolno zadnjo stopico
akavstobiolit | [geol.] negorljiv organski mineral ali kamnina, nastal z delovanjem organizmov
akceleracijah | AKCELERACIJA
akceleracijam | AKCELERACIJA
akceleratorja | AKCELERATOR - vzvod za uravnavanje plinske zmesi za motor, pospeševalnik
akceleratorje | AKCELERATOR - vzvod za uravnavanje plinske zmesi za motor, pospeševalnik
akceleratorji | AKCELERATOR - vzvod za uravnavanje plinske zmesi za motor, pospeševalnik
akceleratorju | AKCELERATOR - vzvod za uravnavanje plinske zmesi za motor, pospeševalnik
akcelerirajmo | AKCELERIRATI - spraviti motor v hitrejši tek, pospešiti
akcelerirajta | AKCELERIRATI - spraviti motor v hitrejši tek, pospešiti
akcelerirajte | AKCELERIRATI - spraviti motor v hitrejši tek, pospešiti
akcelerirajva | AKCELERIRATI - spraviti motor v hitrejši tek, pospešiti
akcelerometer | [avt.] merilnik, pri katerem se pospešek določi iz premika notranjega utežnega sklopa, ki zaradi vpliva pospeška dušeno zaniha, npr. merilnik s potresno maso, merilnik s piezoelektričnim kristalom, kondenzatorski merilnik na integriranem vezju
akcelerometra | AKCELEROMETER - [avt.] merilnik, pri katerem se pospešek določi iz premika notranjega utežnega sklopa, ki zaradi vpliva pospeška dušeno zaniha, npr. merilnik s potresno maso, merilnik s piezoelektričnim kristalom, kondenzatorski merilnik na integriranem vezju
akcelerometre | AKCELEROMETER - [avt.] merilnik, pri katerem se pospešek določi iz premika notranjega utežnega sklopa, ki zaradi vpliva pospeška dušeno zaniha, npr. merilnik s potresno maso, merilnik s piezoelektričnim kristalom, kondenzatorski merilnik na integriranem vezju
akcelerometri | AKCELEROMETER - [avt.] merilnik, pri katerem se pospešek določi iz premika notranjega utežnega sklopa, ki zaradi vpliva pospeška dušeno zaniha, npr. merilnik s potresno maso, merilnik s piezoelektričnim kristalom, kondenzatorski merilnik na integriranem vezju
akcelerometru | AKCELEROMETER - [avt.] merilnik, pri katerem se pospešek določi iz premika notranjega utežnega sklopa, ki zaradi vpliva pospeška dušeno zaniha, npr. merilnik s potresno maso, merilnik s piezoelektričnim kristalom, kondenzatorski merilnik na integriranem vezju
akcentiranjem | AKCENTIRANJE - [gled.] opremljanje zapisanega besedila z naglasnimi znamenji
akcentiranjih | AKCENTIRANJE - [gled.] opremljanje zapisanega besedila z naglasnimi znamenji
akcentologija | veda o akcentu, naglasoslovje
akcentologije | AKCENTOLOGIJA - veda o akcentu, naglasoslovje
akcentologiji | AKCENTOLOGIJA - veda o akcentu, naglasoslovje
akcentologijo | AKCENTOLOGIJA - veda o akcentu, naglasoslovje
akcentologinj | AKCENTOLOGINJA - strokovnjakinja za akcentologijo, naglasoslovka
akcentologoma | AKCENTOLOG - strokovnjak za akcentologijo, naglasoslovec
akcentološkem | AKCENTOLOŠKI - pridevnik od akcentologija
akcentoloških | AKCENTOLOŠKI - pridevnik od akcentologija
akcentološkim | AKCENTOLOŠKI - pridevnik od akcentologija
akcentuacijah | AKCENTUACIJA - izrazito izgovarjanje naglašenih glasov, zlogov
akcentuacijam | AKCENTUACIJA - izrazito izgovarjanje naglašenih glasov, zlogov
akcentuirajmo | AKCENTUIRATI - izgovarjati izrazito, z naglasom
akcentuirajta | AKCENTUIRATI - izgovarjati izrazito, z naglasom
akcentuirajte | AKCENTUIRATI - izgovarjati izrazito, z naglasom
akcentuirajva | AKCENTUIRATI - izgovarjati izrazito, z naglasom
akcentuiranem | AKCENTUIRATI - izgovarjati izrazito, z naglasom
akcentuiranih | AKCENTUIRATI - izgovarjati izrazito, z naglasom
akcentuiranim | AKCENTUIRATI - izgovarjati izrazito, z naglasom
akcentuiranja | AKCENTUIRANJE - glagolnik od akcentuirati
akcentuiranje | glagolnik od akcentuirati
akcentuiranji | AKCENTUIRANJE - glagolnik od akcentuirati
akcentuiranju | AKCENTUIRANJE - glagolnik od akcentuirati
akceptacijama | AKCEPTACIJA - sprejem menice s podpisom
akceptacijami | AKCEPTACIJA - sprejem menice s podpisom
akceptacijska | AKCEPTACIJSKI - pridevnik od akceptacija
akceptacijske | AKCEPTACIJSKI - pridevnik od akceptacija
akceptacijski | pridevnik od akceptacija
akceptacijsko | AKCEPTACIJSKI - pridevnik od akceptacija
akcesoričnega | AKCESORIČEN
akcesoričnemu | AKCESORIČEN
akcesoričnima | AKCESORIČEN
akcesoričnimi | AKCESORIČEN
akcidentalnem | AKCIDENTALEN
akcidentalnih | AKCIDENTALEN
akcidentalnim | AKCIDENTALEN
akcionarskega | AKCIONARSKI
akcionarskemu | AKCIONARSKI
akcionarskima | AKCIONARSKI
akcionarskimi | AKCIONARSKI
aklimatizacij | AKLIMATIZACIJA - prilagajanje, prilagoditev novim življenjskim razmeram, drugačnemu okolju
aklimatiziraj | AKLIMATIZIRATI - prilagoditi novim življenjskim razmeram, drugačnemu okolju
aklimatiziral | AKLIMATIZIRATI - prilagoditi novim življenjskim razmeram, drugačnemu okolju
aklimatiziram | AKLIMATIZIRATI - prilagoditi novim življenjskim razmeram, drugačnemu okolju
aklimatiziran | AKLIMATIZIRATI - prilagoditi novim življenjskim razmeram, drugačnemu okolju
aklimatiziraš | AKLIMATIZIRATI - prilagoditi novim življenjskim razmeram, drugačnemu okolju
aklimatizirat | AKLIMATIZIRATI - prilagoditi novim življenjskim razmeram, drugačnemu okolju
akomodacijama | AKOMODACIJA
akomodacijami | AKOMODACIJA
akrasiomiceta | AKRASIOMICETE - [bot.] red praživali (Protozoa), pri katerih so celice v vseh fazah življenjskega kroga neobičkane, vegetacijska faza je agregacijski plazmodij, zgrajen iz jasno ločenih celic brez celičnih sten, v reprodukcijski fazi se z migracijo in kulminacijo tvori pecljati sporokarp, pri čemer se celice v peclju obdajo s celulozno celično steno, na vrhu nastanejo trosi, so haplonti, pri redkih je dokazano tudi spolno razmnoževanje, ki poteka z združitvijo ameboidnih celic in kasnejšo mejozo diploidne megaciste, prehranjujejo pa se heterotrofno z bakterijami
akrasiomicete | [bot.] red praživali (Protozoa), pri katerih so celice v vseh fazah življenjskega kroga neobičkane, vegetacijska faza je agregacijski plazmodij, zgrajen iz jasno ločenih celic brez celičnih sten, v reprodukcijski fazi se z migracijo in kulminacijo tvori pecljati sporokarp, pri čemer se celice v peclju obdajo s celulozno celično steno, na vrhu nastanejo trosi, so haplonti, pri redkih je dokazano tudi spolno razmnoževanje, ki poteka z združitvijo ameboidnih celic in kasnejšo mejozo diploidne megaciste, prehranjujejo pa se heterotrofno z bakterijami
akrasiomiceti | AKRASIOMICETE - [bot.] red praživali (Protozoa), pri katerih so celice v vseh fazah življenjskega kroga neobičkane, vegetacijska faza je agregacijski plazmodij, zgrajen iz jasno ločenih celic brez celičnih sten, v reprodukcijski fazi se z migracijo in kulminacijo tvori pecljati sporokarp, pri čemer se celice v peclju obdajo s celulozno celično steno, na vrhu nastanejo trosi, so haplonti, pri redkih je dokazano tudi spolno razmnoževanje, ki poteka z združitvijo ameboidnih celic in kasnejšo mejozo diploidne megaciste, prehranjujejo pa se heterotrofno z bakterijami
akrasiomiceto | AKRASIOMICETE - [bot.] red praživali (Protozoa), pri katerih so celice v vseh fazah življenjskega kroga neobičkane, vegetacijska faza je agregacijski plazmodij, zgrajen iz jasno ločenih celic brez celičnih sten, v reprodukcijski fazi se z migracijo in kulminacijo tvori pecljati sporokarp, pri čemer se celice v peclju obdajo s celulozno celično steno, na vrhu nastanejo trosi, so haplonti, pri redkih je dokazano tudi spolno razmnoževanje, ki poteka z združitvijo ameboidnih celic in kasnejšo mejozo diploidne megaciste, prehranjujejo pa se heterotrofno z bakterijami
akratotermama | AKRATOTERMA - [geol.] izvir z majhno množino mineralnih snovi in s temperaturo nad 20 °C
akratotermami | AKRATOTERMA - [geol.] izvir z majhno množino mineralnih snovi in s temperaturo nad 20 °C
akreditacijah | AKREDITACIJA - pridobitev potrdila, da kaj ustreza zahtevam, standardom za opravljanje določene naloge, dejavnosti
akreditacijam | AKREDITACIJA - pridobitev potrdila, da kaj ustreza zahtevam, standardom za opravljanje določene naloge, dejavnosti
akreditirajmo | AKREDITIRATI - pridobiti potrdilo, da kaj ustreza zahtevam, standardom za opravljanje določene naloge, dejavnosti
akreditirajta | AKREDITIRATI - pridobiti potrdilo, da kaj ustreza zahtevam, standardom za opravljanje določene naloge, dejavnosti
akreditirajte | AKREDITIRATI - pridobiti potrdilo, da kaj ustreza zahtevam, standardom za opravljanje določene naloge, dejavnosti
akreditirajva | AKREDITIRATI - pridobiti potrdilo, da kaj ustreza zahtevam, standardom za opravljanje določene naloge, dejavnosti
akreditiranem | AKREDITIRATI - pridobiti potrdilo, da kaj ustreza zahtevam, standardom za opravljanje določene naloge, dejavnosti
akreditiranih | AKREDITIRATI - pridobiti potrdilo, da kaj ustreza zahtevam, standardom za opravljanje določene naloge, dejavnosti
akreditiranim | AKREDITIRATI - pridobiti potrdilo, da kaj ustreza zahtevam, standardom za opravljanje določene naloge, dejavnosti
akreditivnega | AKREDITIVEN - nanašajoč se na akreditiv
akreditivnemu | AKREDITIVEN - nanašajoč se na akreditiv
akreditivnima | AKREDITIVEN - nanašajoč se na akreditiv
akreditivnimi | AKREDITIVEN - nanašajoč se na akreditiv
akrobatolitih | AKROBATOLIT - [geol.] del batolita, ki ga je razkrila erozija
akrobatolitom | AKROBATOLIT - [geol.] del batolita, ki ga je razkrila erozija
